arabic_text,translation,transliteration,etymology
مُّسْتَقَرًّۭا,abode,mus'taqarran,
مُّسْتَقَرٌّۭ ۚ,(is) a fixed time,mus'taqarrun,
مُّسْتَقِرٌّۭ,(will be a) settlement,mus'taqirrun,
مُّسْتَقِرٌّۭ,abiding,mus'taqirrun,
مُّسْتَقِيمًۭا,(the) straight,mus'taqīman,
مُّسْتَقِيمًۭا,straight,mus'taqīman,
مُّسْتَقِيمًۭا,Straight,mus'taqīman,
مُّسْتَقِيمٌۭ,straight,mus'taqīmun,
مُّسْتَقِيمٌۭ,Straight,mus'taqīmun,
مُّسْتَقِيمٍ,straight,mus'taqīmin,
مُّسْتَقِيمٍۢ,straight,mus'taqīmin,
مُّسْتَقِيمٍۢ,(the) straight,mus'taqīmin,
مُّسْتَقِيمٍۢ,straight ,mus'taqīmin,
مُّسْتَقِيمٍۢ,(the) straight path,mus'taqīmin,
مُّسْتَقِيمٍۢ,Straight,mus'taqīmin,
مُّسْتَقْبِلَ,approaching,mus'taqbila,
مُّسْتَكْبِرُونَ,(are) arrogant,mus'takbirūna,
مُّسْتَمِرٌّۭ,continuing,mus'tamirrun,
مُّسْتَمِرٍّۢ,continuous,mus'tamirrin,
مُّسْتَمِعُونَ,listening,mus'tamiʿūna,
مُّسْتَنفِرَةٌۭ,frightened,mus'tanfiratun,
مُّسْرِفُونَ,(who) commit excesses,mus'rifūna,
مُّسْرِفُونَ,transgressing,mus'rifūna,
مُّسْرِفِينَ,transgressing,mus'rifīna,
مُّسْفِرَةٌۭ,(will be) bright,mus'firatun,
مُّسْلِمًۭا,Muslim,mus'liman,
مُّسْلِمَةًۭ,submissive,mus'limatan,
مُّسْلِمُونَ,(are) submissive,mus'limūna,
مُّسْلِمُونَ,Muslims,mus'limūna,
مُّسْلِمُونَ,(as) Muslims,mus'limūna,
مُّسْلِمُونَ,(be) Muslims,mus'limūna,
مُّسْلِمُونَ,submit (to Him),mus'limūna,
مُّسْلِمُونَ,(are) Muslims,mus'limūna,
مُّسْلِمُونَ,surrender,mus'limūna,
مُّسْلِمِينَ,Muslims,mus'limīna,
مُّسْوَدَّةٌ ۚ,(will be) blackened,mus'waddatun,
مُّشَيَّدَةٍۢ ۗ,lofty,mushayyadatin,
مُّشْرِقِينَ,(at) sunrise,mush'riqīna,
مُّشْرِكٍۢ,a polytheistic man,mush'rikin,
مُّشْرِكَةٍۢ,a polytheistic woman,mush'rikatin,
مُّشْرِكُونَ,associate partners with Him,mush'rikūna,
مُّشْرِكِينَ,polytheists,mush'rikīna,
مُّشْفِقُونَ,(are) cautious,mush'fiqūna,
مُّشْفِقُونَ,(are) fearful ,mush'fiqūna,
مُّصَدِّقًۭا,confirming,muṣaddiqan,
مُّصَدِّقٌۭ,confirming,muṣaddiqun,
مُّصَدِّقُ,confirming,muṣaddiqu,
مُّصَفًّۭى ۖ,purified,muṣaffan,
مُّصِيبَةٌۢ,disaster,muṣībatun,
مُّصِيبَةٌۢ,a disaster,muṣībatun,
مُّصِيبَةٌۭ,a misfortune,muṣībatun,
مُّصِيبَةٌۭ,disaster,muṣībatun,
مُّصِيبَةٌۭ,a disaster,muṣībatun,
مُّصِيبَةٍ,disaster,muṣībatin,
مُّصِيبَةٍۢ,(the) misfortune,muṣībatin,
مُّصِيبَةٍۢ,disaster,muṣībatin,
مُّصِيبَةُ,calamity,muṣībatu,
مُّصْبِحِينَ,(by) early morning,muṣ'biḥīna,
مُّصْبِحِينَ,(in the) morning,muṣ'biḥīna,
مُّضَـٰعَفَةًۭ ۖ,multiplied,muḍāʿafatan,
مُّضِلٌّۭ,one who misleads,muḍillun,
مُّضِلٍّ ۗ,misleader,muḍillin,
مُّضْغَةٍۢ,an embryonic lump,muḍ'ghatin,
مُّطَاعٍۢ,One to be obeyed,muṭāʿin,
مُّطَهَّرَةًۭ,purified,muṭahharatan,
مُّطَهَّرَةٌۭ,pure,muṭahharatun,
مُّطَهَّرَةٌۭ ۖ,purified,muṭahharatun,
مُّطَهَّرَةٌۭ ۖ,pure,muṭahharatun,
مُّطَهَّرَةٍۭ,purified,muṭahharatin,
مُّطَّلِعُونَ,be looking,muṭṭaliʿūna,
مُّطْمَئِنَّةًۭ,and content,muṭ'ma-innatan,
مُّظْلِمُونَ,(are) those in darkness,muẓ'limūna,
مُّعَطَّلَةٍۢ,abandoned,muʿaṭṭalatin,
مُّعَمَّرٍۢ,aged person,muʿammarin,
مُّعْرِضُونَ,refusing,muʿ'riḍūna,
مُّعْرِضُونَ,those who are averse,muʿ'riḍūna,
مُّعْرِضُونَ,(were) averse,muʿ'riḍūna,
مُّعْرِضُونَ,turning away,muʿ'riḍūna,
مُّعْرِضُونَ,(are) averse,muʿ'riḍūna,
مُّعْرِضُونَ,turn away,muʿ'riḍūna,
مُّعْرِضُونَ,(are) turning away,muʿ'riḍūna,
مُّعْرِضُونَ,(is) averse,muʿ'riḍūna,
مُّغْرَقُونَ,the ones (to be) drowned,mugh'raqūna,
مُّغْرَقُونَ,(are) the ones to be drowned,mugh'raqūna,
مُّغْرَقُونَ,(to be) drowned,mugh'raqūna,
مُّغْنُونَ,the one who avails,mugh'nūna,
مُّغْنُونَ,avert,mugh'nūna,
مُّفَتَّحَةًۭ,(will be) opened,mufattaḥatan,
مُّفَصَّلَـٰتٍۢ,manifest,mufaṣṣalātin,
مُّفْتَرًۭى,invented,muf'taran,
مُّفْتَرًۭى ۚ,invented,muf'taran,
مُّفْرَطُونَ,(will) be abandoned,muf'raṭūna,
مُّقَرَّنِينَ,bound together,muqarranīna,
مُّقَرَّنِينَ,bound in chains,muqarranīna,
مُّقِيتًۭا,a Keeper,muqītan,
مُّقِيمٌ,enduring,muqīmun,
مُّقِيمٌ,lasting,muqīmun,
مُّقِيمٌ,everlasting,muqīmun,
مُّقِيمٌۭ,lasting,muqīmun,
مُّقِيمٌۭ,enduring,muqīmun,
مُّقِيمٍ,established,muqīmin,
مُّقِيمٍۢ,lasting,muqīmin,
مُّقْتَحِمٌۭ,bursting,muq'taḥimun,
مُّقْتَدُونَ,(are) following,muq'tadūna,
مُّقْتَدِرًا,(is) All Able,muq'tadiran,
مُّقْتَدِرٍ,(the) Powerful One,muq'tadirin,
مُّقْتَدِرٍۭ,Most Powerful,muq'tadirin,
مُّقْتَدِرُونَ,have full power,muq'tadirūna,
مُّقْتَرِفُونَ,(are) committing,muq'tarifūna,
مُّقْتَصِدٌۭ,(is he who is) moderate,muq'taṣidun,
مُّقْتَصِدٌۭ ۚ,(some are) moderate,muq'taṣidun,
مُّقْتَصِدَةٌۭ ۖ,moderate,muq'taṣidatun,
مُّقْمَحُونَ,(are with) heads raised up,muq'maḥūna,
مُّكَذِّبِينَ,(are) deniers,mukadhibīna,
مُّكَرَّمَةٍۢ,honored,mukarramatin,
مُّكْرَمُونَ,honored,muk'ramūna,
مُّكْرَمُونَ,(will) be honored,muk'ramūna,
مُّكْرِمٍ ۚ,bestower of honor,muk'rimin,
مُّلَـٰقُوا۟,will meet,mulāqū,
مُّلَـٰقُوا۟,(would) meet,mulāqū,
مُّلَـٰقُوا۟,(will) be meeting,mulāqū,
مُّلَـٰقُوهُ ۗ,(will) meet Him,mulāqūhu,
مُّلُوكًۭا,kings,mulūkan,
مُّلْقُونَ,(wish to) throw,mul'qūna,
مُّلْقُونَ,(are) going to throw,mul'qūna,
مُّلْكًا,a kingdom,mul'kan,
مُّلْكُ,(is the) dominion,mul'ku,
مُّمَدَّدَةٍۭ,extended,mumaddadatin,
مُّمَرَّدٌۭ,made smooth,mumarradun,
مُّمْطِرُنَا ۚ,bringing us rain,mum'ṭirunā,
مُّنتَشِرٌۭ,spreading,muntashirun,
مُّنتَصِرٌۭ,helping (each other),muntaṣirun,
مُّنتَظِرُونَ,(are) waiting,muntaẓirūna,
مُّنتَقِمُونَ,(will) take retribution,muntaqimūna,
مُّنتَهُونَ,(be) the ones who abstain,muntahūna,
مُّنذِرٌۭ,a warner,mundhirun,
مُّنذِرِينَ,warners,mundhirīna,
مُّنذِرِينَ,(as) warners,mundhirīna,
مُّنظَرِينَ,given respite,munẓarīna,
مُّنقَعِرٍۢ,uprooted,munqaʿirin,
مُّنكَرٍۢ,wrongdoing,munkarin,
مُّنكَرُونَ,unknown,munkarūna,
مُّنكِرَةٌۭ,refuse,munkiratun,
مُّنَشَّرَةًۭ,spread out,munasharatan,
مُّنِيبٌۭ,and oft-returning,munībun,
مُّنِيبٍ,returning,munībin,
مُّنِيبٍۢ,who turns (to Allah),munībin,
مُّنِيبٍۢ,who turns,munībin,
مُّنِيبِينَ,turning,munībīna,
مُّنِيرًۭا,shining,munīran,
مُّنِيرًۭا,illuminating,munīran,
مُّنِيرٍۢ,enlightening,munīrin,
مُّنْهَمِرٍۢ,pouring down,mun'hamirin,
مُّنۢبَثًّۭا,dispersing,munbathan,
مُّهِينًۭا,humiliating,muhīnan,
مُّهِينٌۭ,humiliating,muhīnun,
مُّهْتَدٍۢ ۖ,(is) a guided one,muh'tadin,
مُّهْتَدُونَ,(are) rightly guided,muh'tadūna,
مُّهْتَدُونَ,(are the) guided-ones,muh'tadūna,
مُّهْتَدُونَ,(are) guided,muh'tadūna,
مُّهْطِعِينَ,Racing ahead,muh'ṭiʿīna,
مُّوسَى,Musa,mūsā,
مُّوسَىٰ,Musa,mūsā,
مُّوسَىٰٓ,Musa,mūsā,
مُّوصٍۢ,(the) testator,mūṣin,
مُّوقِنِينَ,convinced,mūqinīna,
مُّوقِنِينَ,certain,mūqinīna,
مُّوَاقِعُوهَا,are to fall in it,muwāqiʿūhā,
مِّا۟ئَةٌۭ,a hundred,mi-atun,
مِّا۟ئَةُ,hundred,mi-atu,
مِّتَّ,you die,mitta,
مِّثْقَالِ,(the) weight,mith'qāli,
مِّثْلَ,similar,mith'la,
مِّثْلَ,(the) like,mith'la,
مِّثْلَ,like,mith'la,
مِّثْلَ,(just) as,mith'la,
مِّثْلَكُمْ,like you,mith'lakum,
مِّثْلَنَا,like us,mith'lanā,
مِّثْلَيْهَا,twice of it,mith'layhā,
مِّثْلَيْهِمْ,twice of them,mith'layhim,
مِّثْلُ,(is) similar,mith'lu,
مِّثْلُ,similar,mith'lu,
مِّثْلُكُمْ,like you,mith'lukum,
مِّثْلُكُمْ ۖ,like you,mith'lukum,
مِّثْلُنَا,like us,mith'lunā,
مِّثْلُهَا ۖ,like it,mith'luhā,
مِّثْلُهُمْ ۗ,(would be) like them,mith'luhum,
مِّثْلُهُۥ,similar to it,mith'luhu,
مِّثْلُهُۥ ۚ,like it,mith'luhu,
مِّثْلِهِۦ,like it,mith'lihi,
مِّثْلِهِۦ,(the) likes of it,mith'lihi,
مِّثْلِهِۦٓ,like it,mith'lihi,
مِّدْرَارًۭا,showering abundantly,mid'rāran,
مِّدْرَارًۭا,(in) abundance,mid'rāran,
مِّرْفَقًۭا,(in) ease,mir'faqan,
مِّسْكِينٌۭ,any poor person,mis'kīnun,
مِّصْرَ,Egypt,miṣ'ra,
مِّلَّةَ,religion,millata,
مِّلَّةَ,(The) religion,millata,
مِّلَّةِ,(the) religion,millati,
مِّلْءُ,full,mil'u,
مِّمَّا,about what,mimmā,
مِّمَّا,for what,mimmā,
مِّمَّا,of what,mimmā,
مِّمَّا,than what,mimmā,
مِّمَّا,from what,mimmā,
مِّمَّا,as to what,mimmā,
مِّمَّا,from which,mimmā,
مِّمَّا,Because of,mimmā,
مِّمَّآ,than what,mimmā,
مِّمَّآ,of what,mimmā,
مِّمَّن,from those,mimman,
مِّمَّن,of (those) who,mimman,
مِّمَّن,than (one) who,mimman,
مِّمَّنْ,than (one) who,mimman,
مِّمَّنْ,from among (those),mimman,
مِّمَّنْ,of those,mimman,
مِّمَّنْ,of those whom,mimman,
مِّمَّنْ,from (He) Who,mimman,
مِّن,from,min,
مِّن,[of],min,
مِّن,of,min,
مِّن,[from],min,
مِّن,than,min,
مِّن,(out) of,min,
مِّن,any,min,
مِّن,(because) of,min,
مِّن,(of),min,
مِّن,(in),min,
مِّن,besides,min,
مِّن,besides Allah,min,
مِّن,before it,min,
مِّن,among,min,
مِّن,before,min,
مِّن,of him,min,
مِّن,(is) any,min,
مِّن,above them,min,
مِّن,before you,min,
مِّن,whether,min,
مِّن,besides Him,min,
مِّن,against it,min,
مِّن,before him,min,
مِّن,of date-palms,min,
مِّن,on it,min,
مِّن,at,min,
مِّن,instead of,min,
مِّن,for,min,
مِّن,[before it],min,
مِّن,about,min,
مِّن,against,min,
مِّن,any Prophet,min,
مِّن,Before them,min,
مِّن,(in) any,min,
مِّنكَ,from you,minka,
مِّنكَ ۖ,from You,minka,
مِّنكُم,of you,minkum,
مِّنكُم,among you,minkum,
مِّنكُم,from you,minkum,
مِّنكُم,[of you],minkum,
مِّنكُمْ,of you,minkum,
مِّنكُمْ,from you,minkum,
مِّنكُمْ,among you,minkum,
مِّنكُمْ,from (among) you,minkum,
مِّنكُمْ,(are) of you,minkum,
مِّنكُمْ,(any) of you,minkum,
مِّنكُمْ ۖ,of you,minkum,
مِّنكُمْ ۖ,among you,minkum,
مِّنكُمْ ۚ,among you,minkum,
مِّنكُنَّ,than you,minkunna,
مِّنَ,from,mina,
مِّنَ,of,mina,
مِّنَ,against,mina,
مِّنَ,among,mina,
مِّنَ,[of],mina,
مِّنَ,Of,mina,
مِّنَ,for,mina,
مِّنَ,from Allah,mina,
مِّنَ,than,mina,
مِّنَ,with,mina,
مِّنَ,by,mina,
مِّنَ,out of,mina,
مِّنَ,from (among),mina,
مِّنَ,(were) of,mina,
مِّنَ,about,mina,
مِّنَ,at,mina,
مِّنَ,(will be) of,mina,
مِّنَ,in,mina,
مِّنَ,Among,mina,
مِّنَ,(is) from,mina,
مِّنَ,(are) from,mina,
مِّنَ,From,mina,
مِّنَّا,from Us,minnā,
مِّنَّا,from us,minnā,
مِّنَّا,among us,minnā,
مِّنَّا ۚ,from Us,minnā,
مِّنِّى,from Me,minnī,
مِّنْ,from,min,
مِّنْ,of,min,
مِّنْ,(of),min,
مِّنْ,any,min,
مِّنْ,(is),min,
مِّنْ,among,min,
مِّنْ,[from],min,
مِّنْ,[of],min,
مِّنْ,(out) of,min,
مِّنْ,from (among),min,
مِّنْ,from Ourselves,min,
مِّنْ,(is) any,min,
مِّنْ,over,min,
مِّنْ,anyone,min,
مِّنْ,from Allah,min,
مِّنْ,for,min,
مِّنْ,(was) any,min,
مِّنْ,by,min,
مِّنْ,than,min,
مِّنْ,about,min,
مِّنْهَا,from it,min'hā,
مِّنْهَا,than this,min'hā,
مِّنْهَا,therefrom,min'hā,
مِّنْهَا,about it,min'hā,
مِّنْهَا,than it,min'hā,
مِّنْهَا,from there,min'hā,
مِّنْهَا,from her,min'hā,
مِّنْهَا,at them,min'hā,
مِّنْهَا ۖ,of it,min'hā,
مِّنْهَا ۖ,about it,min'hā,
مِّنْهَا ۖ,than it,min'hā,
مِّنْهَا ۗ,from it,min'hā,
مِّنْهَا ۗ,of it,min'hā,
مِّنْهَا ۚ,of it,min'hā,
مِّنْهَآ,than it,min'hā,
مِّنْهَآ,from there,min'hā,
مِّنْهُ,from Him,min'hu,
مِّنْهُ,of it,min'hu,
مِّنْهُ,from it,min'hu,
مِّنْهُ,from Himself,min'hu,
مِّنْهُ,than him,min'hu,
مِّنْهُ,concerning it,min'hu,
مِّنْهُ,about him,min'hu,
مِّنْهُ,about it,min'hu,
مِّنْهُ,concerning it ,min'hu,
مِّنْهُ ۖ,from Him,min'hu,
مِّنْهُ ۖ,than him,min'hu,
مِّنْهُ ۚ,about it,min'hu,
مِّنْهُ ۚ,with it,min'hu,
مِّنْهُ ۚ,thereof,min'hu,
مِّنْهُ ۚ,therefrom,min'hu,
مِّنْهُ ۚ,from Him,min'hu,
مِّنْهُم,Among them,min'hum,
مِّنْهُم,of them,min'hum,
مِّنْهُم,among them,min'hum,
مِّنْهُم,from them,min'hum,
مِّنْهُم ۚ,of them,min'hum,
مِّنْهُمَا,of both of them,min'humā,
مِّنْهُمَا,of them,min'humā,
مِّنْهُمَا,of (the) two,min'humā,
مِّنْهُمُ,Among them,min'humu,
مِّنْهُمُ,of them,min'humu,
مِّنْهُمْ,of them,min'hum,
مِّنْهُمْ,from them,min'hum,
مِّنْهُمْ,in them,min'hum,
مِّنْهُمْ,Among them,min'hum,
مِّنْهُمْ,of them ,min'hum,
مِّنْهُمْ,among them,min'hum,
مِّنْهُمْ,from (among) them,min'hum,
مِّنْهُمْ,from among them,min'hum,
مِّنْهُمْ,from themselves,min'hum,
مِّنْهُمْ,at them,min'hum,
مِّنْهُمْ,than them,min'hum,
مِّنْهُمْ ۖ,of them,min'hum,
مِّنْهُمْ ۖ,from themselves,min'hum,
مِّنْهُمْ ۗ,among them,min'hum,
مِّنْهُمْ ۚ,of them,min'hum,
مِّنْهُنَّ,of them,min'hunna,
مِّنْهُنَّ ۖ,than them,min'hunna,
مِّنۢ,from,min,
مِّنۢ,(even) from,min,
مِّنۢ,(are) from,min,
مِّنۢ,after,min,
مِّنۢ,(are) of,min,
مِّنۢ,[from],min,
مِّنۢ,of,min,
مِّنۢ,after them,min,
مِّنۢ,after Him,min,
مِّنۢ,after me,min,
مِّنۢ,any,min,
مِّيثَـٰقًا,covenant,mīthāqan,
مِّيثَـٰقًا,a covenant,mīthāqan,
مِّيثَـٰقٌ,(is) a treaty,mīthāqun,
مِّيثَـٰقٌۭ,(is) a treaty,mīthāqun,
مِّيثَـٰقٌۭ ۗ,(is) a treaty,mīthāqun,
مِّيثَـٰقَهُمْ,(of) their covenant,mīthāqahum,
مِّيثَـٰقُ,Covenant,mīthāqu,
مِّيعَادُ,(is the) appointment,mīʿādu,
نَأْتِ,We bring,nati,
نَأْتِى,come,natī,
نَأْتِى,We come,natī,
نَاجٍۢ,(would be) saved,nājin,
نَادَىٰ,he called,nādā,
نَادَىٰ,your Lord called,nādā,
نَادَىٰ,he called out,nādā,
نَادَىٰنَا,called Us,nādānā,
نَادَىٰهُ,called him,nādāhu,
نَادَيْتُمْ,you make a call,nādaytum,
نَادَيْنَا,We called,nādaynā,
نَادُوا۟,Call,nādū,
نَادِيكُمُ,your meetings,nādīkumu,
نَادِيَهُۥ,his associates,nādiyahu,
نَارًا,(to) Fire,nāran,
نَارًا,a Fire,nāran,
نَارًا,(in) a Fire,nāran,
نَارًۭا,a fire,nāran,
نَارًۭا,(in) a Fire,nāran,
نَارًۭا,(the) fire,nāran,
نَارًۭا,fire,nāran,
نَارًۭا,(from) a Fire,nāran,
نَارًۭا,(the) Fire,nāran,
نَارًۭا,(of) a Fire,nāran,
نَارًۭا ۖ,fire,nāran,
نَارًۭا ۚ,(into) a Fire,nāran,
نَارٌ,A Fire,nārun,
نَارٌۭ,(is) fire,nārun,
نَارٌۭ,(will be the) Fire,nārun,
نَارٌۭ ۚ,fire,nārun,
نَارَ,(is the) Fire,nāra,
نَارَ,Fire,nāra,
نَارُ,(The) Fire,nāru,
نَارُ,(will be the) Fire,nāru,
نَارُ,A Fire,nāru,
نَارِ,the Fire,nāri,
نَارِ,(the) Fire,nāri,
نَاسِكُوهُ ۖ,perform it,nāsikūhu,
نَاشِئَةَ,(the) rising,nāshi-ata,
نَاصِحٌ,an adviser ,nāṣiḥun,
نَاصِرًۭا,(in) helpers,nāṣiran,
نَاصِرٍۢ,any helper,nāṣirin,
نَاصِرَ,helper,nāṣira,
نَاصِيَةٍۢ,A forelock,nāṣiyatin,
نَاظِرَةٌۭ,looking,nāẓiratun,
نَافَقُوا۟,(were) hypocrites,nāfaqū,
نَافَقُوا۟ ۚ,(are) hypocrites,nāfaqū,
نَافِلَةًۭ,(as) additional,nāfilatan,
نَافِلَةًۭ ۖ,(in) addition,nāfilatan,
نَاقَةٌۭ,(is) a she-camel,nāqatun,
نَاقَةَ,(It is the) she-camel,nāqata,
نَاقَةُ,(is) a she-camel,nāqatu,
نَاقَةُ,she-camel,nāqatu,
نَاكِسُوا۟,(will) hang,nākisū,
نَآئِمُونَ,(were) asleep,nāimūna,
نَآئِمُونَ,were asleep,nāimūna,
نَبَأَ,the story,naba-a,
نَبَأَ,(the) story,naba-a,
نَبَأَ,the news,naba-a,
نَبَأَ,(the) news,naba-a,
نَبَأَهُم,their story,naba-ahum,
نَبَأَهُۥ,its information,naba-ahu,
نَبَأُ,(the) news,naba-u,
نَبَؤٌا۟,a news,naba-on,
نَبَؤُا۟,(the) news,naba-u,
نَبَإٍۢ,news,naba-in,
نَبَاتًا,a rearing,nabātan,
نَبَاتًۭا,(as) a growth,nabātan,
نَبَاتَ,vegetation,nabāta,
نَبَاتُ,(the) plants,nabātu,
نَبَاتُ,(the) vegetation,nabātu,
نَبَاتُهُۥ,its vegetation,nabātuhu,
نَبَاتُهُۥ,its growth,nabātuhu,
نَبَذَ,threw away,nabadha,
نَبِىٍّ,Prophet,nabiyyin,
نَبِىٍّ,a Prophet,nabiyyin,
نَبِيًّۭا,a Prophet,nabiyyan,
نَبِيُّهُمْ,their Prophet,nabiyyuhum,
نَبَّأَتْ,she informed,nabba-at,
نَبَّأَنَا,Allah (has) informed us,nabba-anā,
نَبَّأَنِىَ,Has informed me,nabba-aniya,
نَبَّأَهَا,he informed her,nabba-ahā,
نَبَّأْتُكُمَا,I will inform both of you,nabbatukumā,
نَبِّئْنَا,Inform us,nabbi'nā,
نَبِّـُٔونِى,Inform me,nabbiūnī,
نَبْتَغِى,we seek,nabtaghī,
نَبْتَهِلْ,let us pray humbly,nabtahil,
نَبْطِشُ,We will seize,nabṭishu,
نَبْعَثَ,We have sent,nabʿatha,
نَبْعَثُ,We will resurrect,nabʿathu,
نَبْغِ ۚ,seeking,nabghi,
نَبْغِى ۖ,(could) we desire,nabghī,
نَبْلُوهُم,We test them,nablūhum,
نَتَبَوَّأُ,we may settle,natabawwa-u,
نَتَرَبَّصُ,[we] await,natarabbaṣu,
نَتَقَبَّلُ,We will accept,nataqabbalu,
نَتَقْنَا,We raised,nataqnā,
نَتَنَزَّلُ,we descend,natanazzalu,
نَتَوَفَّيَنَّكَ,We cause you to die,natawaffayannaka,
نَتَوَكَّلَ,we put our trust,natawakkala,
نَتَّبِعُ,we follow,nattabiʿu,
نَتَّبِعُ,follow,nattabiʿu,
نَتَّبِعُ,we will follow,nattabiʿu,
نَتَّبِعْكُمْ ۖ,(to) follow you,nattabiʿ'kum,
نَتَّخِذَهُۥ,we will take him,nattakhidhahu,
نَتَّخِذَهُۥ,we may take him,nattakhidhahu,
نَتْلُوا۟,We recite,natlū,
نَتْلُوهَا,We recite them,natlūhā,
نَتْلُوهُ,(is what) We recite [it],natlūhu,
نَجَا,was saved,najā,
نَجَسٌۭ,(are) unclean,najasun,
نَجَوْتَ,You have escaped,najawta,
نَجِدْ,We found,najid,
نَجِيًّۭا,(for) conversation,najiyyan,
نَجِيًّۭا ۖ,(in) private consultation,najiyyan,
نَجَّىٰكُمْ,He delivers you,najjākum,
نَجَّىٰنَا,saved us,najjānā,
نَجَّىٰنَا,(has) saved us,najjānā,
نَجَّىٰهُمْ,He delivers them,najjāhum,
نَجَّيْنَا,We saved,najjaynā,
نَجَّيْنَـٰكُم,We saved you,najjaynākum,
نَجَّيْنَـٰهُ,We saved him,najjaynāhu,
نَجِّنِى,Save me,najjinī,
نَجْزِى,We reward,najzī,
نَجْزِى,We recompense,najzī,
نَجْزِى,(do) we recompense,najzī,
نَجْزِى,[We] reward,najzī,
نَجْزِى,reward,najzī,
نَجْزِيهِ,We will recompense,najzīhi,
نَجْعَل,We made,najʿal,
نَجْعَل,We (have) assigned,najʿal,
نَجْعَلُ,we make,najʿalu,
نَجْعَلُ,should We treat,najʿalu,
نَجْعَلُهَا,We assign it,najʿaluhā,
نَجْعَلِ,We made,najʿali,
نَجْعَلْهُمَا,(so) we may put them,najʿalhumā,
نَجْوَىٰكُمْ,your private consultation,najwākum,
نَجْوَىٰٓ,(are) in private conversation,najwā,
نَحْبَهُۥ,his vow,naḥbahu,
نَحْسٍۢ,(of) misfortune,naḥsin,
نَحْشُرُ,We will gather,naḥshuru,
نَحْشُرُهُمْ,We will gather them,naḥshuruhum,
نَحْنُ,we,naḥnu,
نَحْنُ,We,naḥnu,
نَحْنُ,We (are),naḥnu,
نَحْنُ,[we],naḥnu,
نَحْنُ,And we (are) not,naḥnu,
نَحْنُ,we (are),naḥnu,
نَحْنُ,[We],naḥnu,
نَحْنُ,we are,naḥnu,
نَحْنُ,(are) We,naḥnu,
نَخَافُ,fear,nakhāfu,
نَخُوضُ,conversing,nakhūḍu,
نَخُوضُ,indulge in vain talk,nakhūḍu,
نَخْتِمُ,We will seal,nakhtimu,
نَخْسِفْ,We (could) cause to swallow them,nakhsif,
نَخْشَىٰٓ,We fear,nakhshā,
نَخْلٍ,(of) date-palms,nakhlin,
نَخْلٍۢ,(of) date-palms,nakhlin,
نَخْلُقكُّم,We create you,nakhluqkkum,
نَدُلُّكُمْ,we direct you,nadullukum,
نَدِيًّۭا,(in) assembly,nadiyyan,
نَدْرِى,we know,nadrī,
نَدْرِىٓ,we know,nadrī,
نَدْعُ,let us call,nadʿu,
نَدْعُوا۟,invoke,nadʿū,
نَدْعُوا۟,We will call,nadʿū,
نَدْعُوهُ ۖ,call Him,nadʿūhu,
نَذَرْتُ,[I] vowed,nadhartu,
نَذَرْتُ,[I] have vowed,nadhartu,
نَذَرْتُم,you vow,nadhartum,
نَذِيرًا,a warner ,nadhīran,
نَذِيرًا,a warner,nadhīran,
نَذِيرًۭا,A warning,nadhīran,
نَذِيرٌ,a warner,nadhīrun,
نَذِيرٌۭ,a warner,nadhīrun,
نَذِيرٌۭ,(is) a warner,nadhīrun,
نَذِيرٌۭ ۚ,(are) a warner,nadhīrun,
نَذِيرٍۢ ۖ,a warner,nadhīrin,
نَذِيرِ,(was) My warning,nadhīri,
نَذْهَبَنَّ,We take you away,nadhhabanna,
نَرَى,we see,narā,
نَرَىٰ,We see,narā,
نَرَىٰ,we see,narā,
نَرَىٰكَ,we see you,narāka,
نَرَىٰكَ,[we] see you,narāka,
نَرِثُ,[We] will inherit,narithu,
نَرْزُقُكَ ۗ,provide (for) you,narzuquka,
نَرْزُقُكُمْ,provide for you,narzuqukum,
نَرْزُقُهُمْ,(We) provide for them,narzuquhum,
نَرْفَعُ,We raise,narfaʿu,
نَزَعْنَـٰهَا,We withdraw it,nazaʿnāhā,
نَزَلَ,Has brought it down,nazala,
نَزَلَ,it descends,nazala,
نَزَلَ,has come down,nazala,
نَزَلَ ۗ,it descended,nazala,
نَزِدْ,We increase,nazid,
نَزَّاعَةًۭ,A remover,nazzāʿatan,
نَزَّلَ,revealed,nazzala,
نَزَّلَ,He revealed,nazzala,
نَزَّلَ,He has revealed,nazzala,
نَزَّلَ,(has been) sent down,nazzala,
نَزَّلَ,sent down,nazzala,
نَزَّلَ,has revealed,nazzala,
نَزَّلَ,sends down,nazzala,
نَزَّلَ,Allah has revealed,nazzala,
نَزَّلَ,has sent down,nazzala,
نَزَّلَهُۥ,brought it down,nazzalahu,
نَزَّلَهُۥ,Has brought it down,nazzalahu,
نَزَّلْنَا,We have revealed,nazzalnā,
نَزَّلْنَا,We (have) revealed,nazzalnā,
نَزَّلْنَا,We (had) sent down,nazzalnā,
نَزَّلْنَا,have sent down,nazzalnā,
نَزَّلْنَا,[We] revealed,nazzalnā,
نَزَّلْنَآ,[We] sent down,nazzalnā,
نَزَّلْنَـٰهُ,We (had) revealed it,nazzalnāhu,
نَزْغٌۭ,[an evil suggestion],nazghun,
نَزْغٌۭ,an evil suggestion,nazghun,
نَزْلَةً,(in) descent,nazlatan,
نَسَبًۭا,blood relationship,nasaban,
نَسَبًۭا ۚ,a relationship,nasaban,
نَسُوا۟,they forgot,nasū,
نَسُوا۟,They forget,nasū,
نَسُوا۟,forgot,nasū,
